sample	drug	dbID	syn	pcID	gvm
estradiol 5757 human GSE53394 sample 2652	estradiol	db5757		5757	pc5757
estradiol DB00783 human GSE1153 sample 2735	estradiol	db00783		5757	pc5757
HYPOCHLOROUS ACID 24341 human GSE11630 sample 3200	hypochlorous acid	db24341		24341	pc24341
doxorubicin, EC50, 5 d 31703 human GSE6930 sample 3262	doxorubicin	db31703		31703	pc31703
Retinoic acid 444795 mouse GSE1588 sample 3633	retinoic acid	db444795		444795	pc444795
cediranib 9933475 human GSE32569 sample 2642	cediranib	db9933475		9933475	pc9933475
carbidopa DB00190 mouse GSE47099 sample 3293	carbidopa	db00190		34359	pc34359
tretinoin DB00755 mouse GSE484 sample 2826	tretinoin	db00755		444795	pc444795
bleomycin DB00290 mouse GSE485 sample 2685	bleomycin	db00290		5460769	pc5460769
MLN4924 73014187 human GSE30531 sample 2645	mln4924	db73014187		16720766	pc16720766
decitabine DB01262 human GSE9118 sample 2703	decitabine	db01262		451668	pc451668
BPDE 41322 human GSE19510 sample 3378	bpde	db41322		41322	pc41322
acrylamide 6579 rat GSE29004 sample 3109	acrylamide	db6579		6579	pc6579
imatinib DB00619 human GSE20876 sample 2510	imatinib	db00619		5291	pc5291
sevoflurane DB01236 human GSE4386 sample 2816	sevoflurane	db01236		5206	pc5206
Hydrogen Peroxide 784 mouse GSE3078 sample 3596	hydrogen peroxide	db784		784	pc784
4-Hydroxynonenal 5283344 human GSE2397 sample 3078	4-hydroxynonenal	db5283344		5283344	pc5283344
Retinoic acid 444795 human GSE54464 sample 3141	retinoic acid	db444795		444795	pc444795
Phosgene 6371 mouse GSE2565 sample 3613	phosgene	db6371		6371	pc6371
VANADIUM PENTOXIDE 14814 human GSE5339 sample 3556	vanadium pentoxide	db14814		14814	pc14814
estradiol 5757 human GSE4668 sample 3063	estradiol	db5757		5757	pc5757
cytarabine, EC50, 1 d 6253 human GSE6930 sample 3373	cytarabine	db6253		6253	pc6253
isoflurane DB00753 rat GSE1779 sample 2771	isoflurane	db00753		3763	pc3763
puromycin, EC50, 1 d 439530 human GSE6930 sample 3268	puromycin	db439530		439530	pc439530
quercetin DB04216 human GSE15162 sample 3444	quercetin	db04216		5280343	pc5280343
dexamethasone DB01234 human GSE22152 sample 2488	dexamethasone	db01234		5743	pc5743
soman 7305 rat GSE13428 sample 2633	soman	db7305		7305	pc7305
rosiglitazone DB00412 rat GSE21329 sample 2845	rosiglitazone	db00412		77999	pc77999
diclofenac DB00586 human GSE39192 sample 3056	diclofenac	db00586		3033	pc3033
methamphetamine 10836 mouse GSE30305 sample 2614	methamphetamine	db10836		66124	pc66124
Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458	colorectal adenocarcinoma	db00482		2662	pc2662
pioglitazone DB01132 rat GSE21329 sample 2843	pioglitazone	db01132		4829	pc4829
heroin 5462328 mouse GSE30305 sample 2620	heroin	db5462328		5462328	pc5462328
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 mouse GSE2812 sample 3602	2,3,7,8-tetrachlorodibenzo-p-dioxin	db10852289		15625	pc15625
Caerulein 16132921 mouse GSE3644 sample 3585	caerulein	db16132921		16129675	pc16129675
imatinib DB00619 mouse GSE35559 sample 2525	imatinib	db00619		5291	pc5291
formaldehyde 712 rat GSE7002 sample 3542	formaldehyde	db712		712	pc712
4-Hydroxynonenal 5283344 human GSE2397 sample 3079	4-hydroxynonenal	db5283344		5283344	pc5283344
doxorubicin, 2xEC50, 3 d 31703 human GSE6930 sample 3264	doxorubicin	db31703		31703	pc31703
dexamethasone DB01234 rat GSE15563 sample 2713	dexamethasone	db01234		5743	pc5743
Retinoic acid 444795 human GSE54464 sample 3139	retinoic acid	db444795		444795	pc444795
sapphyrin PCI-2050 (1.25 &Icirc;&frac14;M) 9855235 human GSE6400 sample 3101	sapphyrin pci-2050	db9855235		9855235	pc9855235
corticosterone 5753 rat GSE37618 sample 3094	corticosterone	db5753		5753	pc5753
estradiol DB00783 human GSE11506 sample 2730	estradiol	db00783		5757	pc5757
cisplatin DB00515 human GSE47856 sample 3148	cisplatin	db00515			cisplatin
4-Hydroxynonenal 5283344 human GSE2397 sample 3082	4-hydroxynonenal	db5283344		5283344	pc5283344
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3322	trichloroethylene	db6575		6575	pc6575
heroin 5462328 mouse GSE30305 sample 2615	heroin	db5462328		5462328	pc5462328
titanium dioxide NA mouse GSE7475 sample 2824	titanium dioxide			439196	pc439196
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3317	trichloroethylene	db6575		6575	pc6575
4-Hydroxynonenal 5283344 human GSE2397 sample 3080	4-hydroxynonenal	db5283344		5283344	pc5283344
imatinib DB00619 human GSE22433 sample 2526	imatinib	db00619		5291	pc5291
ubiquinol 9962735 mouse GSE15129 sample 3455	ubiquinol	db9962735			ubiquinol
resveratrol DB02709 human GSE41168 sample 3495	resveratrol	db02709		445154	pc445154
5-Fluorouracil 3385 mouse GSE1559 sample 3640	5-fluorouracil	db3385		3385	pc3385
etanercept DB00005 human GSE47751 sample 2594	etanercept	db00005			etanercept
troglitazone DB00197 rat GSE21329 sample 2833	troglitazone	db00197		5591	pc5591
ubiquinol 9962735 human GSE19627 sample 3449	ubiquinol	db9962735			ubiquinol
BPDE 41322 human GSE19510 sample 3377	bpde	db41322		41322	pc41322
permethrin DB04930 rat GSE7955 sample 3418	permethrin	db04930		40326	pc40326
genistein 5280961 mouse GSE2889 sample 3605	genistein	db5280961		5280961	pc5280961
alfacalcidol 5282181 human GSE15947 sample 3363	alfacalcidol	db5282181		5282181	pc5282181
pyrazinamide 1046 mouse GSE48027 sample 3326	pyrazinamide	db1046		1046	pc1046
fenretinide 5288209 rat GSE3952 sample 3561	fenretinide	db5288209		5288209	pc5288209
doxycycline DB00254 human GSE2624 sample 3076	doxycycline	db00254		54671203	pc54671203
methylprednisolone 6741 rat GSE490 sample 3665	methylprednisolone	db6741		6741	pc6741
ethanol DB00898 human GSE3846 sample 2738	ethanol	db00898		702	pc702
estradiol DB00783 rat GSE5315 sample 2537	estradiol	db00783		5757	pc5757
laminin 44342165 human GSE24716 sample 3502	laminin	db44342165			laminin
cisplatin DB00515 human GSE47856 sample 3149	cisplatin	db00515			cisplatin
imatinib DB00619 human GSE19567 sample 2527	imatinib	db00619		5291	pc5291
4-Hydroxytamoxifen 449459 human GSE26298 sample 3239	4-hydroxytamoxifen	db449459		449459	pc449459
doxycycline DB00254 human GSE2624 sample 3077	doxycycline	db00254		54671203	pc54671203
EPZ004777 56962336 human GSE29828 sample 2651	epz004777	db56962336		56962336	pc56962336
estradiol 5757 human GSE4668 sample 3062	estradiol	db5757		5757	pc5757
Mehp 20393 rat GSE4514 sample 3577	mehp	db20393		20393	pc20393
alfacalcidol 5282181 human GSE15947 sample 3362	alfacalcidol	db5282181		5282181	pc5282181
MLN4924 73014187 human GSE30531 sample 2647	mln4924	db73014187		16720766	pc16720766
levetiracetam 5284583 rat GSE2880 sample 2671	levetiracetam	db5284583		5284583	pc5284583
alitretinoin DB00523 rat GSE3952 sample 2674	alitretinoin	db00523		449171	pc449171
halothane 3562 rat GSE6433 sample 3651	halothane	db3562		3562	pc3562
dexamethasone DB01234 mouse GSE11056 sample 3358	dexamethasone	db01234		5743	pc5743
rosiglitazone 77999 mouse GSE1458 sample 2588	rosiglitazone	db77999		77999	pc77999
bicalutamide DB01128 human GSE7708 sample 3088	bicalutamide	db01128		2375	pc2375
5-aza-2'-deoxycytidine DB01262 human GSE5230 sample 2497	5-aza-2'-deoxycytidine	db01262		451668	pc451668
PLX4032 DB05238 human GSE24862 sample 2568	plx4032	db05238		42611257	pc42611257
methamphetamine 10836 mouse GSE30305 sample 2665	methamphetamine	db10836		66124	pc66124
vitamin c DB00126 mouse GSE19379 sample 3513	vitamin c	db00126		54670067	pc54670067
quercetin DB04216 mouse GSE38136 sample 3437	quercetin	db04216		5280343	pc5280343
decitabine 451668 mouse GSE4768 sample 3105	decitabine	db451668		451668	pc451668
imatinib DB00619 human GSE1922 sample 2516	imatinib	db00619		5291	pc5291
quercetin 5280343 human GSE7259 sample 3416	quercetin	db5280343		5280343	pc5280343
cisplatin DB00515 human GSE47856 sample 3154	cisplatin	db00515			cisplatin
5-Fluorouracil 3385 mouse GSE1559 sample 3636	5-fluorouracil	db3385		3385	pc3385
Bisphenol A 6623 human GSE17624 sample 2661	bisphenol a	db6623		6623	pc6623
colchicine DB01394 human GSE4090 sample 2696	colchicine	db01394		2833	pc2833
SODIUM ARSENITE 443495 mouse GSE11056 sample 3360	sodium arsenite	db443495		443495	pc443495
rosiglitazone DB00412 human GSE5679 sample 2809	rosiglitazone	db00412		77999	pc77999
propofol DB00818 human GSE4386 sample 2804	propofol	db00818		4943	pc4943
CADMIUM 23973 human GSE9951 sample 3405	cadmium	db23973		23973	pc23973
vitamin c DB00126 mouse GSE19379 sample 3512	vitamin c	db00126		54670067	pc54670067
formaldehyde 712 rat GSE7002 sample 3546	formaldehyde	db712		712	pc712
2,2',4,4',5,5'-Hexachlorobiphenyl   (PCB-153) 37034 human GSE6878 sample 3349	2,2',4,4',5,5'-hexachlorobiphenyl  	db37034		37034	pc37034
letrozole 3902 human GSE5462 sample 3097	letrozole	db3902		3902	pc3902
cisplatin DB00515 human GSE47856 sample 3156	cisplatin	db00515			cisplatin
doxycycline DB00254 mouse GSE29848 sample 3208	doxycycline	db00254		54671203	pc54671203
Retinoic acid 444795 human GSE23702 sample 3231	retinoic acid	db444795		444795	pc444795
N-METHYLFORMAMIDE 31254 rat GSE5509 sample 3570	n-methylformamide	db31254		31254	pc31254
Retinoic acid 444795 human GSE23702 sample 3232	retinoic acid	db444795		444795	pc444795
Harman 5281404 human GSE5080 sample 3482	harman	db5281404		5281404	pc5281404
PRISTANE 15979 mouse GSE17297 sample 3230	pristane	db15979		15979	pc15979
Bisphenol A 6623 human GSE17624 sample 2657	bisphenol a	db6623		6623	pc6623
ascorbic acid 54670067 human GSE11919 sample 3190	ascorbic acid	db54670067		54670067	pc54670067
CADMIUM 23973 human GSE9951 sample 3404	cadmium	db23973		23973	pc23973
alitretinoin DB00523 rat GSE3952 sample 2675	alitretinoin	db00523		449171	pc449171
dexamethasone DB01234 mouse GSE7683 sample 3524	dexamethasone	db01234		5743	pc5743
Coenzyme Q10 5281915 mouse GSE15129 sample 3452	coenzyme q10	db5281915		5281915	pc5281915
alpha-Tocopherol 14985 mouse GSE8150 sample 3477	alpha-tocopherol	db14985		14985	pc14985
carboplatin (36 h) 10339178 human GSE13525 sample 3032	carboplatin	db10339178		38904	pc38904
Hodgkin lymphoma CID 148177 human GSE31059 sample 2494	hodgkin lymphoma	db148177			hodgkinlymphoma
4-Hydroxytamoxifen 449459 human GSE26298 sample 3240	4-hydroxytamoxifen	db449459		449459	pc449459
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3313	trichloroethylene	db6575		6575	pc6575
SODIUM BUTYRATE 5222465 mouse GSE4410 sample 3584	sodium butyrate	db5222465		104775	pc104775
imatinib DB00619 human GSE1922 sample 2457	imatinib	db00619		5291	pc5291
Androstanolone 10635 human GSE7868 sample 3410	androstanolone	db10635		10635	pc10635
ethanol 702 rat GSE55243 sample 3107	ethanol	db702		702	pc702
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3522	perfluorooctanoic acid	db9554		9554	pc9554
Hydrogen Peroxide 784 mouse GSE3078 sample 3597	hydrogen peroxide	db784		784	pc784
Monuron 8800 rat GSE51163 sample 2465	monuron	db8800		8800	pc8800
estradiol 5757 mouse GSE2195 sample 3623	estradiol	db5757		5757	pc5757
DETA NONOate 24890998 mouse GSE22087 sample 3211	deta nonoate	db24890998		1606	pc1606
deferasirox DB01609 human GSE11670 sample 2571	deferasirox	db01609		5493381	pc5493381
bleomycin DB00290 mouse GSE485 sample 2684	bleomycin	db00290		5460769	pc5460769
doxorubicin, 2xEC50, 5 d 31703 human GSE6930 sample 3265	doxorubicin	db31703		31703	pc31703
motexafin gadolinium (12 h) DB05428 human GSE2189 sample 3127	motexafin gadolinium	db05428		12047567	pc12047567
methylprednisolone 6741 rat GSE490 sample 3661	methylprednisolone	db6741		6741	pc6741
HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3383	hypochlorous acid	db24341		24341	pc24341
Interferon beta-1b DB00068 human GSE26104 sample 3185	interferon beta-1b	db00068			interferonbeta1b
Promegestone 36709 human GSE67561 sample 3694	promegestone	db36709		36709	pc36709
imatinib DB00619 human GSE1922 sample 2512	imatinib	db00619		5291	pc5291
vitamin c DB00126 mouse GSE32994 sample 3511	vitamin c	db00126		54670067	pc54670067
aldosterone 5839 mouse GSE434 sample 3655	aldosterone	db5839		5839	pc5839
Interferon beta-1a DB00060 human GSE26104 sample 3188	interferon beta-1a	db00060			interferonbeta1a
estradiol 5757 mouse GSE2889 sample 3609	estradiol	db5757		5757	pc5757
angiotensin II 172198 mouse GSE29145 sample 3217	angiotensin ii	db172198		172198	pc172198
quercetin DB04216 mouse GSE38067 sample 3440	quercetin	db04216		5280343	pc5280343
ethanol DB00898 mouse GSE52644 sample 3476	ethanol	db00898		702	pc702
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 mouse GSE2812 sample 3600	2,3,7,8-tetrachlorodibenzo-p-dioxin	db10852289		15625	pc15625
rosiglitazone DB00412 mouse GSE2431 sample 2808	rosiglitazone	db00412		77999	pc77999
phorbol ester 12-O-tetradecanoylphorbol-13-acetate (TPA) 27924 mouse GSE40849 sample 3256	phorbol ester 12-o-tetradecanoylphorbol-13-acetate	db27924			phorbolester12otetradecanoylphorbol13acetate
Bisphenol A 6623 human GSE17624 sample 2653	bisphenol a	db6623		6623	pc6623
bexarotene 82146 rat GSE3952 sample 3562	bexarotene	db82146		82146	pc82146
Bisphenol A 6623 human GSE17624 sample 2663	bisphenol a	db6623		6623	pc6623
Triiodothyronine-[13C6] hydrochloride (T3 thyronine) 53442265 human GSE29159 sample 3042	triiodothyronine-[13c6] hydrochloride	db53442265			triiodothyronine13c6hydrochloride
vemurafenib DB08881 human GSE63790 sample 2509	vemurafenib	db08881		42611257	pc42611257
puromycin, EC50, 3 d 439530 human GSE6930 sample 3269	puromycin	db439530		439530	pc439530
NICKEL 935 human GSE6281 sample 3479	nickel	db935		935	pc935
Cobalt dichloride hexahydrate 24643 rat GSE51207 sample 3114	cobalt dichloride hexahydrate	db24643		24643	pc24643
doxycycline DB00254 mouse GSE29848 sample 3207	doxycycline	db00254		54671203	pc54671203
sunitinib 5329102 rat GSE6929 sample 2491	sunitinib	db5329102		5329102	pc5329102
phorbol ester 12-O-tetradecanoylphorbol-13-acetate (TPA) 27924 mouse GSE40849 sample 3257	phorbol ester 12-o-tetradecanoylphorbol-13-acetate	db27924			phorbolester12otetradecanoylphorbol13acetate
dexamethasone DB01234 mouse GSE4165 sample 2710	dexamethasone	db01234		5743	pc5743
d-serine 71077 rat GSE10748 sample 3391	d-serine	db71077		71077	pc71077
Retinoic acid 444795 mouse GSE1588 sample 3634	retinoic acid	db444795		444795	pc444795
resveratrol DB02709 human GSE36930 sample 3497	resveratrol	db02709		445154	pc445154
imatinib DB00619 human GSE1922 sample 2517	imatinib	db00619		5291	pc5291
rosiglitazone DB00412 mouse GSE35011 sample 3267	rosiglitazone	db00412		77999	pc77999
grepafloxacin 72474 human GSE9166 sample 2627	grepafloxacin	db72474		72474	pc72474
R1881 13766 human GSE22606 sample 3048	r1881	db13766		261000	pc261000
d-serine 71077 rat GSE10748 sample 3387	d-serine	db71077		71077	pc71077
Retinoic acid 444795 human GSE54464 sample 3140	retinoic acid	db444795		444795	pc444795
luteolin 5280445 human GSE53180 sample 3473	luteolin	db5280445		5280445	pc5280445
phenytoin 1775 rat GSE2880 sample 3033	phenytoin	db1775		1775	pc1775
dexamethasone DB01234 human GSE34313 sample 3169	dexamethasone	db01234		5743	pc5743
cadmium CID 23973 human GSE20320 sample 2550	cadmium	db23973		23973	pc23973
adenosine triphosphate 5957 human GSE30903 sample 3219	adenosine triphosphate	db5957		5957	pc5957
pertuzumab DB06366 human GSE31432 sample 3124	pertuzumab	db06366			pertuzumab
Curcumin 969516 human GSE16160 sample 3425	curcumin	db969516		969516	pc969516
1-(4-Methoxyphenyl)piperazine 269722 rat GSE68785 sample 3689	1-(4-methoxyphenyl)piperazine	db269722		269722	pc269722
ursodeoxycholic acid 31401 mouse GSE21266 sample 2492	ursodeoxycholic acid	db31401		31401	pc31401
CYFLUTHRIN 104926 human GSE5023 sample 3572	cyfluthrin	db104926		104926	pc104926
heroin 5462328 mouse GSE30305 sample 2622	heroin	db5462328		5462328	pc5462328
Interferon beta-1a DB00060 human GSE26104 sample 3186	interferon beta-1a	db00060			interferonbeta1a
NICKEL CHLORIDE 24385 rat GSE31503 sample 3278	nickel chloride	db24385		24385	pc24385
HYPOCHLOROUS ACID 24341 human GSE11630 sample 3198	hypochlorous acid	db24341		24341	pc24341
quercetin 5280343 human GSE13899 sample 3182	quercetin	db5280343		5280343	pc5280343
gatifloxacin 5379 human GSE9166 sample 2626	gatifloxacin	db5379		5379	pc5379
MEK inhibitor (MEKi -AZD6244) 10127622 human GSE55624 sample 3250	mek inhibitor	db10127622		23507698	pc23507698
formaldehyde 712 rat GSE7002 sample 3544	formaldehyde	db712		712	pc712
methamphetamine DB01577 rat GSE46717 sample 3303	methamphetamine	db01577		66124	pc66124
rosiglitazone DB00412 mouse GSE11343 sample 2815	rosiglitazone	db00412		77999	pc77999
cisplatin DB00515 human GSE47856 sample 3158	cisplatin	db00515			cisplatin
Chromium(III) nicotinate 56843898 mouse GSE4420 sample 2590	chromium(iii) nicotinate	db56843898		9909912	pc9909912
etanercept DB00005 human GSE47751 sample 2593	etanercept	db00005			etanercept
decitabine 451668 mouse GSE4768 sample 3108	decitabine	db451668		451668	pc451668
NICKEL CHLORIDE 24385 rat GSE31503 sample 3280	nickel chloride	db24385		24385	pc24385
folic acid DB00158 human GSE17635 sample 2748	folic acid	db00158		6037	pc6037
SODIUM ARSENITE 443495 mouse GSE11056 sample 3354	sodium arsenite	db443495		443495	pc443495
Calcitonin 16132288 mouse GSE60761 sample 3447	calcitonin	db16132288		44388547	pc44388547
5-Fluorouracil 3385 mouse GSE1559 sample 3639	5-fluorouracil	db3385		3385	pc3385
formaldehyde 712 rat GSE7002 sample 3551	formaldehyde	db712		712	pc712
