sample	drug	PCIDs	syn	gvm
CPC001_HA1E_24H-oxindole_i-10.0	oxindole i	5908088		pc5908088
CPC001_HA1E_24H-pd_166793-10.0	pd 166793	9887870		pc9887870
CPC001_HA1E_24H-pd_407824-10.0	pd 407824	4369491		pc4369491
CPC001_HA1E_24H-pdgf_receptor_tyrosine_kinase_inhibitor_i-10.0	pdgf receptor tyrosine kinase inhibitor i	5330535		pc5330535
CPC001_HA1E_24H-peucedanin-10.0	peucedanin	8616		pc8616
CPC001_HA1E_24H-pi_828-10.0	pi 828	25181195		pc25181195
CPC001_HA1E_24H-piretanide-10.0	piretanide	4849		pc4849
CPC001_HA1E_24H-purmorphamine-10.0	purmorphamine	5284329		pc5284329
CPC001_HA1E_24H-r(+)-skf-81297-10.0	r(+) skf 81297			rskf81297
CPC001_HA1E_24H-r(-)-n-allylnorapomorphine-10.0	r( ) n allylnorapomorphine			rnallylnorapomorphine
CPC001_HA1E_24H-resveratrol-10.0	resveratrol	445154		pc445154
CPC001_HA1E_24H-rimcazole_dihydrochloride-10.0	rimcazole dihydrochloride	53388		pc53388
CPC001_HA1E_24H-ro_08-2750-10.0	ro 08 2750			ro082750
CPC001_HA1E_24H-ro_60-0175-10.0	ro 60 0175	3045227		pc3045227
CPC001_HA1E_24H-rottlerin_ncgc00025228-11-10.0	rottlerin ncgc00025228 11			rottlerinncgc0002522811
CPC001_HA1E_24H-rs_504393-10.0	rs 504393	9953769		pc9953769
CPC001_HA1E_24H-sarmentogenin-10.0	sarmentogenin	6437		pc6437
CPC001_HA1E_24H-sb_225002-10.0	sb 225002	3854666		pc3854666
CPC001_HA1E_24H-sb_269970_hydrochloride-10.0	sb 269970 hydrochloride	11957684		pc11957684
CPC001_HA1E_24H-sdz_21009-10.0	sdz 21009	193949		pc193949
CPC001_HA1E_24H-sdz_nkt_343-10.0	sdz nkt 343	9851211		pc9851211
CPC001_HA1E_24H-sr_49059-10.0	sr 49059	60943		pc60943
CPC001_HA1E_24H-src_kinase_inhibitor_ii-10.0	src kinase inhibitor ii	1172104		pc1172104
CPC001_HA1E_24H-strophanthidin-10.0	strophanthidin	6185		pc6185
CPC001_HA1E_24H-syk_inhibitor-10.0	syk inhibitor	6419747		pc6419747
CPC001_HA1E_24H-syrosingopine-10.0	syrosingopine	6769		pc6769
CPC001_HA1E_24H-t_98475-10.0	t 98475	9874838		pc9874838
CPC001_HA1E_24H-taxol-10.0	taxol	36314		pc36314
CPC001_HA1E_24H-tenidap-10.0	tenidap	54683953		pc54683953
CPC001_HA1E_24H-tms-10.0	tms	5354004		pc5354004
CPC001_HA1E_24H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC001_HA1E_24H-tws119-10.0	tws119	9549289		pc9549289
CPC001_HA1E_24H-tyrphostin_ag_1478-10.0	tyrphostin ag 1478	2051		pc2051
CPC001_HA1E_24H-u_18666a-10.0	u 18666a	9954082		pc9954082
CPC001_HA1E_24H-vegf_receptor_2_kinase_inhibitor_iv-10.0	vegf receptor 2 kinase inhibitor iv	5329468		pc5329468
CPC001_HA1E_24H-vinblastine_sulfate-10.0	vinblastine sulfate	5388983		pc5388983
CPC001_HA1E_24H-vorinostat-10.0	vorinostat	5311		pc5311
CPC001_HA1E_24H-w-9_hydrochloride-10.0	w 9 hydrochloride			w9hydrochloride
CPC001_HA1E_24H-wortmannin-10.0	wortmannin	312145		pc312145
CPC001_HA1E_24H-xaliproden_hydrochloride-10.0	xaliproden hydrochloride	128918		pc128918
CPC001_HA1E_24H-y_134-10.0	y 134	11784736		pc11784736
CPC001_HA1E_24H-zk_164015-10.0	zk 164015	9806489		pc9806489
CPC001_HA1E_24H-zuclopenthixol_hydrochloride-10.0	zuclopenthixol hydrochloride	5311507		pc5311507
CPC001_HA1E_6H-BRD-K81209512_(ag_494)-10.0	brd k81209512		ag_494	brdk81209512
CPC001_HA1E_6H-ag-879-10.0	ag 879	5487525		pc5487525
CPC001_HA1E_6H-ag_494-10.0	ag 494	5328771		pc5328771
CPC001_HA1E_6H-ag_556-10.0	ag 556	5328775		pc5328775
CPC001_HA1E_6H-ag_592-10.0	ag 592			ag592
CPC001_HA1E_6H-ag_825-10.0	ag 825			ag825
CPC001_HA1E_6H-angiogenesis_inhibitor-10.0	angiogenesis inhibitor	2812173		pc2812173
CPC001_HA1E_6H-arachidonamide-10.0	arachidonamide	5487525		pc5487525
CPC001_HA1E_6H-arp_101-10.0	arp 101	11292680		pc11292680
CPC001_HA1E_6H-bapta-am-10.0	bapta am	2293		pc2293
CPC001_HA1E_6H-brefeldin_a-10.0	brefeldin a	5287620		pc5287620
CPC001_HA1E_6H-caffeic_acid_phenethyl_ester-10.0	caffeic acid phenethyl ester	5281787		pc5281787
CPC001_HA1E_6H-cdc-10.0	cdc	14840979		pc14840979
CPC001_HA1E_6H-cosmosiin-10.0	cosmosiin	5280704		pc5280704
CPC001_HA1E_6H-cp_55,940-10.0	cp 55,940	5328771		pc5328771
CPC001_HA1E_6H-cucurbitacin_i-10.0	cucurbitacin i	5328775		pc5328775
CPC001_HA1E_6H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC001_HA1E_6H-dibutyrylcyclic_amp-10.0	dibutyrylcyclic amp			dibutyrylcyclicamp
CPC001_HA1E_6H-dichlorobenzamil-10.0	dichlorobenzamil	114771		pc114771
CPC001_HA1E_6H-digoxin-10.0	digoxin	2724385		pc2724385
CPC001_HA1E_6H-er_27319_maleate-10.0	er 27319 maleate	6091659		pc6091659
CPC001_HA1E_6H-esculin_hydrate-10.0	esculin hydrate	2812173		pc2812173
CPC001_HA1E_6H-estradiol_valerate-10.0	estradiol valerate	13791		pc13791
CPC001_HA1E_6H-fit-10.0	fit	84008		pc84008
CPC001_HA1E_6H-fluticasone_propionate-10.0	fluticasone propionate	444036		pc444036
CPC001_HA1E_6H-fr_139317-10.0	fr 139317	107810		pc107810
CPC001_HA1E_6H-ftt-10.0	ftt	5283393		pc5283393
CPC001_HA1E_6H-gbr_13069_dihydrochloride-10.0	gbr 13069 dihydrochloride	57358708		pc57358708
CPC001_HA1E_6H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC001_HA1E_6H-gr_127935_hydrochloride-10.0	gr 127935 hydrochloride	11497466		pc11497466
CPC001_HA1E_6H-gsk-3b_inhibitor_viii-10.0	gsk 3b inhibitor viii			gsk3binhibitorviii
CPC001_HA1E_6H-h_89_dihydrochloride-10.0	h 89 dihydrochloride	449241		pc449241
CPC001_HA1E_6H-halcinonide-10.0	halcinonide	443943		pc443943
CPC001_HA1E_6H-homoharringtonine-10.0	homoharringtonine	285033		pc285033
CPC001_HA1E_6H-ic_261-10.0	ic 261	5288600		pc5288600
CPC001_HA1E_6H-ikk_16-10.0	ikk 16	11292680		pc11292680
CPC001_HA1E_6H-imd_0354-10.0	imd 0354	5081913		pc5081913
CPC001_HA1E_6H-jak3_inhibitor_ii-10.0	jak3 inhibitor ii	3795		pc3795
CPC001_HA1E_6H-jak3_inhibitor_vi-10.0	jak3 inhibitor vi	16760524		pc16760524
CPC001_HA1E_6H-kf_38789-10.0	kf 38789	5373277		pc5373277
CPC001_HA1E_6H-l-732,138-10.0	l 732,138	132837		pc132837
CPC001_HA1E_6H-lawsone-10.0	lawsone	6755		pc6755
CPC001_HA1E_6H-levcromakalim-10.0	levcromakalim	93504		pc93504
CPC001_HA1E_6H-lylamine_hydrochloride-10.0	lylamine hydrochloride	16759156		pc16759156
CPC001_HA1E_6H-mdm2_inhibitor-10.0	mdm2 inhibitor	10022508		pc10022508
CPC001_HA1E_6H-mevastatin-10.0	mevastatin	64715		pc64715
CPC001_HA1E_6H-mibefradil_dihydrochloride-10.0	mibefradil dihydrochloride	60662		pc60662
CPC001_HA1E_6H-n-benzylnaltrindole_hydrochloride-10.0	n benzylnaltrindole hydrochloride			nbenzylnaltrindolehydrochloride
CPC001_HA1E_6H-nnc_05-2090_hydrochloride-10.0	nnc 05 2090 hydrochloride			nnc052090hydrochloride
CPC001_HA1E_6H-ntncb_hydrochloride-10.0	ntncb hydrochloride	16759158		pc16759158
CPC001_HA1E_6H-o-2050-10.0	o 2050			o2050
CPC001_HA1E_6H-olvanil-10.0	olvanil	5311093		pc5311093
CPC001_HA1E_6H-oxindole_i-10.0	oxindole i	5908088		pc5908088
CPC001_HA1E_6H-pd_407824-10.0	pd 407824	4369491		pc4369491
CPC001_HA1E_6H-pdgf_receptor_tyrosine_kinase_inhibitor_i-10.0	pdgf receptor tyrosine kinase inhibitor i	5330535		pc5330535
CPC001_HA1E_6H-pi_828-10.0	pi 828	25181195		pc25181195
CPC001_HA1E_6H-pyrrolidinedithiocarbamate_ammonium-10.0	pyrrolidinedithiocarbamate ammonium	2293		pc2293
CPC001_HA1E_6H-r(-)-n-allylnorapomorphine-10.0	r( ) n allylnorapomorphine			rnallylnorapomorphine
CPC001_HA1E_6H-resveratrol-10.0	resveratrol	445154		pc445154
CPC001_HA1E_6H-rimcazole_dihydrochloride-10.0	rimcazole dihydrochloride	53388		pc53388
CPC001_HA1E_6H-ro_08-2750-10.0	ro 08 2750			ro082750
CPC001_HA1E_6H-rottlerin_ncgc00025228-11-10.0	rottlerin ncgc00025228 11			rottlerinncgc0002522811
CPC001_HA1E_6H-rs_17053_hydrochloride-10.0	rs 17053 hydrochloride	5287620		pc5287620
CPC001_HA1E_6H-ryuvidine-10.0	ryuvidine	5281787		pc5281787
CPC001_HA1E_6H-saquinavir_mesylate-10.0	saquinavir mesylate	14840979		pc14840979
CPC001_HA1E_6H-sarmentogenin-10.0	sarmentogenin	6437		pc6437
CPC001_HA1E_6H-sb_225002-10.0	sb 225002	3854666		pc3854666
CPC001_HA1E_6H-sb_269970_hydrochloride-10.0	sb 269970 hydrochloride	11957684		pc11957684
CPC001_HA1E_6H-sch_58261-10.0	sch 58261	5280704		pc5280704
CPC001_HA1E_6H-selinidin-10.0	selinidin	104895		pc104895
CPC001_HA1E_6H-strophanthidin-10.0	strophanthidin	6185		pc6185
CPC001_HA1E_6H-syk_inhibitor-10.0	syk inhibitor	6419747		pc6419747
CPC001_HA1E_6H-syrosingopine-10.0	syrosingopine	6769		pc6769
CPC001_HA1E_6H-talniflumate-10.0	talniflumate	5281321		pc5281321
CPC001_HA1E_6H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC001_HA1E_6H-tws119-10.0	tws119	9549289		pc9549289
CPC001_HA1E_6H-tyrphostin_ag_1478-10.0	tyrphostin ag 1478	2051		pc2051
CPC001_HA1E_6H-ub_165_fumarate-10.0	ub 165 fumarate	5284373		pc5284373
CPC001_HA1E_6H-vinblastine_sulfate-10.0	vinblastine sulfate	5388983		pc5388983
CPC001_HA1E_6H-vorinostat-10.0	vorinostat	5311		pc5311
CPC001_HA1E_6H-wortmannin-10.0	wortmannin	312145		pc312145
CPC001_HA1E_6H-wr_216174-10.0	wr 216174			wr216174
CPC001_HA1E_6H-y_134-10.0	y 134	11784736		pc11784736
CPC001_HA1E_6H-z-leu3-vs-10.0	z leu3 vs	114771		pc114771
CPC001_HA1E_6H-zd_2079_hydrochloride-10.0	zd 2079 hydrochloride	2724385		pc2724385
CPC001_HA1E_6H-zk_164015-10.0	zk 164015	9806489		pc9806489
CPC001_HCC515_24H-BRD-K62310379_(fluticasone_propionate)-10.0	brd k62310379		fluticasone_propionate	brdk62310379
CPC001_HCC515_24H-BRD-K85318537_(obaa)-10.0	brd k85318537	56972172	obaa	pc56972172
CPC001_HCC515_24H-ag-879-10.0	ag 879	5487525		pc5487525
CPC001_HCC515_24H-ag_592-10.0	ag 592			ag592
CPC001_HCC515_24H-aloisine-10.0	aloisine	3641059		pc3641059
CPC001_HCC515_24H-am_404-10.0	am 404	6604822		pc6604822
CPC001_HCC515_24H-angiogenesis_inhibitor-10.0	angiogenesis inhibitor	2812173		pc2812173
CPC001_HCC515_24H-arachidonamide-10.0	arachidonamide	5487525		pc5487525
CPC001_HCC515_24H-arp_101-10.0	arp 101	11292680		pc11292680
CPC001_HCC515_24H-bapta-am-10.0	bapta am	2293		pc2293
CPC001_HCC515_24H-bd_1063_dihydrochloride-10.0	bd 1063 dihydrochloride	16211025		pc16211025
CPC001_HCC515_24H-brefeldin_a-10.0	brefeldin a	5287620		pc5287620
CPC001_HCC515_24H-bu_239_hydrochloride-10.0	bu 239 hydrochloride	13791		pc13791
CPC001_HCC515_24H-bw-b_70c-10.0	bw b 70c	5353454		pc5353454
CPC001_HCC515_24H-caffeic_acid_phenethyl_ester-10.0	caffeic acid phenethyl ester	5281787		pc5281787
CPC001_HCC515_24H-cdc-10.0	cdc	14840979		pc14840979
CPC001_HCC515_24H-cgs_21680_hydrochloride-10.0	cgs 21680 hydrochloride	84008		pc84008
CPC001_HCC515_24H-clobetasol_propionate-10.0	clobetasol propionate	32798		pc32798
CPC001_HCC515_24H-clofarabine-10.0	clofarabine	119182		pc119182
CPC001_HCC515_24H-cosmosiin-10.0	cosmosiin	5280704		pc5280704
CPC001_HCC515_24H-coumarinic_acid_methyl_ether-10.0	coumarinic acid methyl ether	107810		pc107810
CPC001_HCC515_24H-cp_93129_dihydrochloride-10.0	cp 93129 dihydrochloride			cp93129dihydrochloride
CPC001_HCC515_24H-cucurbitacin_i-10.0	cucurbitacin i	5328775		pc5328775
CPC001_HCC515_24H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC001_HCC515_24H-dibutyrylcyclic_amp-10.0	dibutyrylcyclic amp			dibutyrylcyclicamp
CPC001_HCC515_24H-dichlorobenzamil-10.0	dichlorobenzamil	114771		pc114771
CPC001_HCC515_24H-dihydro-beta-tubaic_acid-10.0	dihydro beta tubaic acid	57358708		pc57358708
CPC001_HCC515_24H-diphenyleneiodonium_chloride-10.0	diphenyleneiodonium chloride	2733504		pc2733504
CPC001_HCC515_24H-dnqx_disodium_salt-10.0	dnqx disodium salt	5288382		pc5288382
CPC001_HCC515_24H-esculin_hydrate-10.0	esculin hydrate	2812173		pc2812173
CPC001_HCC515_24H-estradiol_valerate-10.0	estradiol valerate	13791		pc13791
CPC001_HCC515_24H-fit-10.0	fit	84008		pc84008
CPC001_HCC515_24H-fluticasone_propionate-10.0	fluticasone propionate	444036		pc444036
CPC001_HCC515_24H-ftt-10.0	ftt	5283393		pc5283393
CPC001_HCC515_24H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC001_HCC515_24H-gr_127935_hydrochloride-10.0	gr 127935 hydrochloride	11497466		pc11497466
CPC001_HCC515_24H-gr_32191_hydrochloride-10.0	gr 32191 hydrochloride			gr32191hydrochloride
CPC001_HCC515_24H-gsk-3b_inhibitor_viii-10.0	gsk 3b inhibitor viii			gsk3binhibitorviii
CPC001_HCC515_24H-gw_583340_dihydrochloride-10.0	gw 583340 dihydrochloride	11497466		pc11497466
CPC001_HCC515_24H-gw_9508-10.0	gw 9508			gw9508
CPC001_HCC515_24H-halcinonide-10.0	halcinonide	443943		pc443943
CPC001_HCC515_24H-hemado-10.0	hemado	10981286		pc10981286
CPC001_HCC515_24H-herniarin-10.0	herniarin	10748		pc10748
CPC001_HCC515_24H-homoharringtonine-10.0	homoharringtonine	285033		pc285033
CPC001_HCC515_24H-ic_261-10.0	ic 261	5288600		pc5288600
CPC001_HCC515_24H-ici-162,846-10.0	ici 162,846	134778		pc134778
CPC001_HCC515_24H-ikk_16-10.0	ikk 16	11292680		pc11292680
CPC001_HCC515_24H-imd_0354-10.0	imd 0354	5081913		pc5081913
CPC001_HCC515_24H-isoeugenitol-10.0	isoeugenitol	5318562		pc5318562
CPC001_HCC515_24H-isoflupredone_acetate-10.0	isoflupredone acetate	224246		pc224246
CPC001_HCC515_24H-jak3_inhibitor_i-10.0	jak3 inhibitor i	3794		pc3794
CPC001_HCC515_24H-jak3_inhibitor_ii-10.0	jak3 inhibitor ii	3795		pc3795
CPC001_HCC515_24H-jak3_inhibitor_vi-10.0	jak3 inhibitor vi	16760524		pc16760524
CPC001_HCC515_24H-jnj_10191584_maleate-10.0	jnj 10191584 maleate	449241		pc449241
CPC001_HCC515_24H-jte_907-10.0	jte 907	443943		pc443943
CPC001_HCC515_24H-kf_38789-10.0	kf 38789	5373277		pc5373277
CPC001_HCC515_24H-kn-62-10.0	kn 62	3838		pc3838
CPC001_HCC515_24H-l-cis-diltiazem-10.0	l cis diltiazem	5288600		pc5288600
CPC001_HCC515_24H-l_655240-10.0	l 655240	56972179		pc56972179
CPC001_HCC515_24H-lawsone-10.0	lawsone	6755		pc6755
CPC001_HCC515_24H-lfm-a12-10.0	lfm a12			lfma12
CPC001_HCC515_24H-ly-165,163-10.0	ly 165,163	121930		pc121930
CPC001_HCC515_24H-mammea_a/ba_+_a/bb-10.0	mammea a/ba + a/bb	5081913		pc5081913
CPC001_HCC515_24H-mek1/2_inhibitor-10.0	mek1/2 inhibitor	3795		pc3795
CPC001_HCC515_24H-mevastatin-10.0	mevastatin	64715		pc64715
CPC001_HCC515_24H-mibefradil_dihydrochloride-10.0	mibefradil dihydrochloride	60662		pc60662
CPC001_HCC515_24H-ml_3163-10.0	ml 3163	16760524		pc16760524
CPC001_HCC515_24H-mmpx-10.0	mmpx	5373277		pc5373277
CPC001_HCC515_24H-n-benzylnaltrindole_hydrochloride-10.0	n benzylnaltrindole hydrochloride			nbenzylnaltrindolehydrochloride
CPC001_HCC515_24H-nemonapride-10.0	nemonapride	132837		pc132837
CPC001_HCC515_24H-nnc_05-2090_hydrochloride-10.0	nnc 05 2090 hydrochloride			nnc052090hydrochloride
CPC001_HCC515_24H-ntncb_hydrochloride-10.0	ntncb hydrochloride	16759158		pc16759158
CPC001_HCC515_24H-o-2050-10.0	o 2050			o2050
CPC001_HCC515_24H-obaa-10.0	obaa	6755		pc6755
CPC001_HCC515_24H-olvanil-10.0	olvanil	5311093		pc5311093
CPC001_HCC515_24H-oxindole_i-10.0	oxindole i	5908088		pc5908088
CPC001_HCC515_24H-pd_123319_ditrifluoroacetate-10.0	pd 123319 ditrifluoroacetate	93504		pc93504
CPC001_HCC515_24H-pd_166793-10.0	pd 166793	9887870		pc9887870
CPC001_HCC515_24H-pd_407824-10.0	pd 407824	4369491		pc4369491
CPC001_HCC515_24H-pdgf_receptor_tyrosine_kinase_inhibitor_i-10.0	pdgf receptor tyrosine kinase inhibitor i	5330535		pc5330535
CPC001_HCC515_24H-pi_828-10.0	pi 828	25181195		pc25181195
CPC001_HCC515_24H-piretanide-10.0	piretanide	4849		pc4849
CPC001_HCC515_24H-rimcazole_dihydrochloride-10.0	rimcazole dihydrochloride	53388		pc53388
CPC001_HCC515_24H-rottlerin_ncgc00025228-11-10.0	rottlerin ncgc00025228 11			rottlerinncgc0002522811
CPC001_HCC515_24H-rs_17053_hydrochloride-10.0	rs 17053 hydrochloride	5287620		pc5287620
CPC001_HCC515_24H-rs_504393-10.0	rs 504393	9953769		pc9953769
CPC001_HCC515_24H-rutin-10.0	rutin	5280805		pc5280805
CPC001_HCC515_24H-sarmentogenin-10.0	sarmentogenin	6437		pc6437
CPC001_HCC515_24H-sb_225002-10.0	sb 225002	3854666		pc3854666
CPC001_HCC515_24H-sch_58261-10.0	sch 58261	5280704		pc5280704
CPC001_HCC515_24H-selinidin-10.0	selinidin	104895		pc104895
CPC001_HCC515_24H-sericetin-10.0	sericetin	10022508		pc10022508
CPC001_HCC515_24H-skf_81297_hydrobromide-10.0	skf 81297 hydrobromide	64715		pc64715
CPC001_HCC515_24H-strophanthidin-10.0	strophanthidin	6185		pc6185
CPC001_HCC515_24H-syk_inhibitor-10.0	syk inhibitor	6419747		pc6419747
CPC001_HCC515_24H-t_98475-10.0	t 98475	9874838		pc9874838
CPC001_HCC515_24H-taxol-10.0	taxol	36314		pc36314
CPC001_HCC515_24H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC001_HCC515_24H-tws119-10.0	tws119	9549289		pc9549289
CPC001_HCC515_24H-tyrphostin_ag_1478-10.0	tyrphostin ag 1478	2051		pc2051
CPC001_HCC515_24H-u_18666a-10.0	u 18666a	9954082		pc9954082
CPC001_HCC515_24H-valyltryptophan-10.0	valyltryptophan	60662		pc60662
CPC001_HCC515_24H-vinblastine_sulfate-10.0	vinblastine sulfate	5388983		pc5388983
CPC001_HCC515_24H-vinpocetine-10.0	vinpocetine			vinpocetine
CPC001_HCC515_24H-vorinostat-10.0	vorinostat	5311		pc5311
CPC001_HCC515_24H-wortmannin-10.0	wortmannin	312145		pc312145
