DrugName	DrugID_ChEMBL	DrugID_DrugBank	DrugID_SMILES	DrugID_PC
cyanocobalamin	chembl2110563	db00115	[c@h]1([c@@h]2[c@h]([c@@h](n3c4=cc(=c(c)c=c4[n+]([co-3]456(n7c8=c(c9=[n+]4c(c([c@@h]9ccc(n)=o)(c)c)=cc4=[n+]5c(=c(c5=[n+]6[c@@]([c@]7([c@@h]([c@@]8(c)ccc(=o)nc[c@@]([h])(c)op([o-])(=o)o2)cc(n)=o)[h])([c@@]([c@@h]5ccc(n)=o)(c)cc(n)=o)c)c)[c@@]([c@@h]4ccc(n)=o)(c)cc(n)=o)c)c#n)=c3)c)o1)o)co	5311498
cyproheptadine	chembl516	db00434	cn1ccc(cc1)=c1c2=cc=cc=c2c=cc2=cc=cc=c12	2913
cytisine	chembl497939	db09028	[h][c@@]12cnc[c@@]([h])(c1)c1=cc=cc(=o)n1c2	10235
d-tartaric acid	chembl225983	db01694	o[c@@h]([c@@h](o)c(o)=o)c(o)=o	447315
dabrafenib	chembl2028663	db08912	cc(c)(c)c1=nc(=c(s1)c1=nc(n)=nc=c1)c1=c(f)c(ns(=o)(=o)c2=c(f)c=cc=c2f)=cc=c1	44462760
daclizumab	chembl1201605	db00111	not found	NA
dalfampridine	chembl284348	db06637	n=c1c=cnc=c1	1727
danazol	chembl1479	db01406	[h][c@@]12cc[c@@](o)(c#c)[c@@]1(c)cc[c@@]1([h])[c@@]2([h])ccc2=cc3=c(c[c@]12c)c=no3	28417
darifenacin	chembl1346	db00496	nc(=o)c([c@@h]1ccn(ccc2=cc3=c(occ3)c=c2)c1)(c1=cc=cc=c1)c1=cc=cc=c1	444031
dasatinib	chembl1421	db01254	cc1=nc(nc2=nc=c(s2)c(=o)nc2=c(c)c=cc=c2cl)=cc(=n1)n1ccn(cco)cc1	3062316
desflurane	chembl1200733	db01189	fc(f)oc(f)c(f)(f)f	42113
desipramine	chembl72	db01151	cncccn1c2=cc=cc=c2ccc2=cc=cc=c12	2995
dexfosfoserine	chembl284377	db04522	n[c@@h](cop(o)(o)=o)c(o)=o	68841
dexibuprofen	chembl175	db09213	[h][c@@](c)(c(o)=o)c1=cc=c(cc(c)c)c=c1	39912
dextroamphetamine	chembl612	db01576	c[c@h](n)cc1=cc=cc=c1	5826
dextromethorphan	chembl52440	db00514	[h][c@]12cc3=c(c=c(oc)c=c3)[c@@]3(cccc[c@]13[h])ccn2c	5360696
diacerein	chembl41286	db11994	cc(=o)oc1=cc=cc2=c1c(=o)c1=c(oc(c)=o)c=c(c=c1c2=o)c(o)=o	26248
diazepam	chembl12	db00829	cn1c2=c(c=c(cl)c=c2)c(=ncc1=o)c1=cc=cc=c1	3016
diazoxide	chembl181	db01119	cc1=ns(=o)(=o)c2=c(n1)c=cc(cl)=c2	3019
diclofenac	chembl139	db00586	oc(=o)cc1=cc=cc=c1nc1=c(cl)c=cc=c1cl	3033
dihydromorphine	chembl1500	db01565	[h][c@@]12oc3=c(o)c=cc4=c3[c@@]11ccn(c)[c@]([h])(c4)[c@]1([h])cc[c@@h]2o	5359421
dipivefrin	chembl1201262	db00449	cncc(o)c1=cc(oc(=o)c(c)(c)c)=c(oc(=o)c(c)(c)c)c=c1	3105
disopyramide	chembl517	db00280	cc(c)n(ccc(c(n)=o)(c1=cc=cc=c1)c1=nc=cc=c1)c(c)c	3114
docetaxel	chembl92	db01248	[h][c@@]12c[c@h](o)[c@@]3(c)c(=o)[c@h](o)c4=c(c)[c@h](c[c@@](o)([c@@h](oc(=o)c5=cc=cc=c5)[c@]3([h])[c@@]1(co2)oc(c)=o)c4(c)c)oc(=o)[c@h](o)[c@@h](nc(=o)oc(c)(c)c)c1=cc=cc=c1	148124
doconexent	chembl367149	db03756	cc\c=c/c\c=c/c\c=c/c\c=c/c\c=c/c\c=c/ccc(o)=o	445580
dopamine	chembl59	db00988	nccc1=cc(o)=c(o)c=c1	681
dosulepin	chembl108947	db09167	cn(c)cc\c=c1/c2=cc=cc=c2csc2=cc=cc=c12	5282426
doxazosin	chembl707	db00590	coc1=c(oc)c=c2c(n)=nc(=nc2=c1)n1ccn(cc1)c(=o)c1coc2=cc=cc=c2o1	3157
doxepin	chembl860	db01142	[h]c(ccn(c)c)=c1c2=cc=cc=c2coc2=cc=cc=c12	667477
dronedarone	chembl184412	db04855	ccccn(cccc)cccoc1=cc=c(c=c1)c(=o)c1=c(cccc)oc2=c1c=c(ns(c)(=o)=o)c=c2	208898
droxidopa	chembl2103827	db06262	n[c@@h]([c@h](o)c1=cc(o)=c(o)c=c1)c(o)=o	92974
dyphylline	chembl1752	db00651	cn1c2=c(n(cc(o)co)c=n2)c(=o)n(c)c1=o	3182
efalizumab	chembl1201575	db00095	not found	NA
eletriptan	chembl1510	db00216	cn1ccc[c@@h]1cc1=cnc2=c1c=c(ccs(=o)(=o)c1=cc=cc=c1)c=c2	77993
ellagic acid	chembl6246	db08846	oc1=c(o)c2=c3c(=c1)c(=o)oc1=c3c(=cc(o)=c1o)c(=o)o2	5281855
enflurane	chembl1257	db00228	fc(f)oc(f)(f)c(f)cl	3226
enprofylline	chembl279898	db00824	cccn1c2=c(nc=n2)c(=o)nc1=o	1676
epicept np-1	chembl609728	db05492	cc1=cc(=c(ncccn)c=c1)[n+]([o-])=o	5276854
epinastine	chembl1106	db00751	nc1=ncc2n1c1=cc=cc=c1cc1=cc=cc=c21	3241
epinephrine	chembl679	db00668	cnc[c@h](o)c1=cc(o)=c(o)c=c1	5816
epothilone d	chembl96172	db01873	[h]\c(=c(\c)[c@]1([h])c\c([h])=c(c)/ccc[c@]([h])(c)[c@]([h])(o)[c@@]([h])(c)c(=o)c(c)(c)[c@@]([h])(o)cc(=o)o1)c1=csc(c)=n1	447865
ergotamine	chembl442	db00696	[h][c@@]12cccn1c(=o)[c@h](cc1=cc=cc=c1)n1c(=o)[c@](c)(nc(=o)[c@h]3cn(c)[c@]4([h])cc5=cnc6=cc=cc(=c56)c4=c3)o[c@@]21o	8223
escitalopram	chembl1508	db01175	cn(c)ccc[c@]1(occ2=c1c=cc(=c2)c#n)c1=cc=c(f)c=c1	146570
esmirtazapine	chembl1366933	db06678	[h][c@]12cn(c)ccn1c1=c(cc3=cc=cc=c23)c=cc=n1	3085218
estazolam	chembl285674	db01215	clc1=cc2=c(c=c1)n1c=nn=c1cn=c2c1=cc=cc=c1	3261
eszopiclone	chembl1522	db00402	cn1ccn(cc1)c(=o)o[c@@h]1n(c(=o)c2=nc=cn=c12)c1=nc=c(cl)c=c1	969472
etanercept	chembl1201572	db00005	not found	NA
ethanol	chembl545	db00898	cco	702
ethchlorvynol	chembl591	db00189	[h]c(cl)=cc(o)(cc)c#c	5281077
etizolam	chembl1289779	db09166	ccc1=cc2=c(s1)n1c(c)=nn=c1cn=c2c1=cc=cc=c1cl	3307
etomidate	chembl681	db00292	ccoc(=o)c1=cn=cn1[c@h](c)c1=cc=cc=c1	667484
etretinate	chembl464	db00926	ccoc(=o)c=c(c)c=cc=c(c)c=cc1=c(c)c(c)=c(oc)c=c1c	5282375
famoxadone	chembl10118	db07778	c[c@]1(oc(=o)n(nc2=cc=cc=c2)c1=o)c1=cc=c(oc2=cc=cc=c2)c=c1	446845
farnesyl diphosphate	chembl69330	db07780	[h]op(=o)(o[h])op(=o)(o[h])oc\c=c(/c)cc\c=c(/c)ccc=c(c)c	445713
felodipine	chembl1480	db01023	ccoc(=o)c1=c(c)nc(c)=c(c1c1=c(cl)c(cl)=cc=c1)c(=o)oc	3333
fenoldopam	chembl588	db00800	oc1=cc=c(c=c1)c1cnccc2=c(cl)c(o)=c(o)c=c12	3341
fesoterodine	chembl1201764	db06702	cc(c)n(cc[c@h](c1=cc=cc=c1)c1=c(oc(=o)c(c)c)c=cc(co)=c1)c(c)c	6918558
flavin adenine dinucleotide	chembl1232653	db03147	cc1=cc2=c(c=c1c)n(c[c@h](o)[c@h](o)[c@h](o)co[p@](o)(=o)o[p@@](o)(=o)oc[c@h]1o[c@h]([c@h](o)[c@@h]1o)n1c=nc3=c1n=cn=c3n)c1=nc(=o)nc(=o)c1=n2	643975
fludiazepam	chembl13291	db01567	cn1c2=c(c=c(cl)c=c2)c(=ncc1=o)c1=cc=cc=c1f	3369
flumazenil	chembl407	db01205	ccoc(=o)c1=c2cn(c)c(=o)c3=c(c=cc(f)=c3)n2c=n1	3373
flunitrazepam	chembl13280	db01544	cn1c2=c(c=c(c=c2)[n+]([o-])=o)c(=ncc1=o)c1=cc=cc=c1f	3380
flupentixol	chembl54661	db00875	[h]\c(ccn1ccn(cco)cc1)=c1/c2=cc=cc=c2sc2=c1c=c(c=c2)c(f)(f)f	5281881
flurazepam	chembl968	db00690	ccn(cc)ccn1c2=c(c=c(cl)c=c2)c(=ncc1=o)c1=cc=cc=c1f	3393
formic acid	chembl116736	db01942	oc=o	284
gabapentin	chembl940	db00996	ncc1(cc(o)=o)ccccc1	3446
galantamine	chembl659	db00674	[h][c@]12c[c@@h](o)c=c[c@]11ccn(c)cc3=c1c(o2)=c(oc)c=c3	9651
ganaxolone	chembl1568698	db05087	[h][c@@]12cc[c@h](c(c)=o)[c@@]1(c)cc[c@@]1([h])[c@@]2([h])cc[c@@]2([h])c[c@](c)(o)cc[c@]12c	6918305
gavestinel	chembl44793	db06741	oc(=o)c1=c(\c=c\c(=o)nc2=cc=cc=c2)c2=c(cl)c=c(cl)c=c2n1	6450546
gemtuzumab ozogamicin	chembl1201506	db00056	not found	NA
genistein	chembl44	db01645	oc1=cc=c(c=c1)c1=coc2=cc(o)=cc(o)=c2c1=o	5280961
glutamic acid	chembl76232	db00142	n[c@@h](ccc(o)=o)c(o)=o	23327
glutathione	chembl1543	db00143	n[c@@h](ccc(=o)n[c@@h](cs)c(=o)ncc(o)=o)c(o)=o	124886
glutethimide	chembl1102	db01437	ccc1(ccc(=o)nc1=o)c1=cc=cc=c1	3487
glyburide	chembl472	db01016	coc1=c(c=c(cl)c=c1)c(=o)nccc1=cc=c(c=c1)s(=o)(=o)nc(=o)nc1ccccc1	3488
glycerin	chembl692	db09462	occ(o)co	753
glycine	chembl773	db00145	ncc(o)=o	750
guanosine-5'-diphosphate	chembl384759	db04315	nc1=nc2=c(n=cn2[c@@h]2o[c@h](cop(o)(=o)op(o)(o)=o)[c@@h](o)[c@h]2o)c(=o)n1	8977
guanosine-5'-monophosphate	chembl283807	db01972	nc1=nc2=c(n=cn2[c@@h]2o[c@h](cop(o)(o)=o)[c@@h](o)[c@h]2o)c(=o)n1	6804
guanosine-5'-triphosphate	chembl1233147	db04137	nc1=nc2=c(n=cn2[c@@h]2o[c@h](cop(o)(=o)op(o)(=o)op(o)(o)=o)[c@@h](o)[c@h]2o)c(=o)n1	6830
halazepam	chembl970	db00801	fc(f)(f)cn1c2=c(c=c(cl)c=c2)c(=ncc1=o)c1=cc=cc=c1	31640
haloperidol	chembl54	db00502	oc1(ccn(cccc(=o)c2=cc=c(f)c=c2)cc1)c1=cc=c(cl)c=c1	3559
halothane	chembl931	db01159	fc(f)(f)c(cl)br	3562
heptabarbital	chembl468837	db01354	ccc1(c(=o)nc(=o)nc1=o)c1=cccccc1	10518
hexobarbital	chembl7728	db01355	cn1c(=o)nc(=o)c(c)(c1=o)c1=ccccc1	3608
homatropine methylbromide	chembl1200851	db00725	[br-].c[n+]1(c)c2ccc1cc(c2)oc(=o)c(o)c1=cc=cc=c1	10429215
hyaluronic acid	chembl1697748	db08818	cc(=o)n[c@h]1[c@h](o)o[c@h](co)[c@@h](o)c1o[c@@h]1o[c@@h]([c@@h](o[c@@h]2o[c@h](co)[c@@h](o)c(o[c@@h]3o[c@@h]([c@@h](o)[c@h](o)[c@h]3o)c(o)=o)[c@h]2nc(c)=o)[c@h](o)[c@h]1o)c(o)=o	3084050
hydrochlorothiazide	chembl435	db00999	ns(=o)(=o)c1=c(cl)c=c2ncns(=o)(=o)c2=c1	3639
hydroflumethiazide	chembl1763	db00774	ns(=o)(=o)c1=cc2=c(ncns2(=o)=o)c=c1c(f)(f)f	3647
hydroxocobalamin	chembl2103737	db00200	[h]o[co+]n1\c2=c(c)/c3=n/c(=c\c4=n\c(=c(c)/c5=n[c@@](c)([c@@]1([h])[c@h](cc(=o)n)[c@@]2(c)ccc(=o)nc[c@@h](c)op(=o)([o-])o[c@h]1[c@@h](o)[c@h](o[c@@h]1co)n1c=nc2=cc(c)=c(c)c=c12)[c@@](c)(cc(n)=o)[c@@h]5ccc(=o)n)\[c@@](c)(cc(=o)n)[c@@h]4ccc(=o)n)/c(c)(c)[c@@h]3ccc(=o)n	45357193
ibritumomab tiuxetan	chembl1201606	db00078	not found	74890578
ibudilast	chembl19449	db05266	cc(c)c(=o)c1=c2c=cc=cn2n=c1c(c)c	3671
ibuprofen	chembl521	db01050	cc(c)cc1=cc=c(c=c1)c(c)c(o)=o	3672
